layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,187654.668000,0.000000,0.000000,-nan,0.000000,187654.669000,0.083265,0.148026,0.000000,-nan,0.000000,544925.910000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,272872.983000,0.114522,0.203595,0.000000,-nan,0.000000,544925.910000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,359278.749000,0.173960,0.309262,0.000000,-nan,0.000000,544925.910000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,448059.419000,0.278981,0.495966,0.000000,-nan,0.000000,544925.910000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,541589.897000,0.461604,0.820629,0.000000,-nan,0.000000,544925.910000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,103030.105000,4.852951,8.627468,0.000000,-nan,0.000000,544925.910000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,187654.668000,0.000000,0.000000,NONE,NONE,1912485.822000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,541589.898000,total comp,3336.012000,total time,544925.910000
