layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,46401.508000,0.000000,0.000000,-nan,0.000000,46401.509000,0.336735,0.336735,0.000000,-nan,0.000000,118112.962000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,59763.371000,0.522896,0.522896,0.000000,-nan,0.000000,118112.962000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,74482.323000,0.839125,0.839125,0.000000,-nan,0.000000,118112.962000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,91915.453000,1.359945,1.359945,0.000000,-nan,0.000000,118112.962000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,114776.949000,2.178138,2.178138,0.000000,-nan,0.000000,118112.962000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,33718.215000,14.828780,14.828780,0.000000,-nan,0.000000,118112.962000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,46401.508000,0.000000,0.000000,NONE,NONE,421057.820000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,114776.950000,total comp,3336.012000,total time,118112.962000
