layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,139208.932000,0.000000,0.000000,-nan,0.000000,139208.933000,0.112241,0.168362,0.000000,-nan,0.000000,347679.946000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,179296.695000,0.174292,0.261438,0.000000,-nan,0.000000,347679.946000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,223455.727000,0.279697,0.419546,0.000000,-nan,0.000000,347679.946000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,275757.293000,0.453297,0.679946,0.000000,-nan,0.000000,347679.946000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,344343.933000,0.726018,1.089027,0.000000,-nan,0.000000,347679.946000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,101156.827000,4.942820,7.414230,0.000000,-nan,0.000000,347679.946000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,139208.932000,0.000000,0.000000,NONE,NONE,1263219.408000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,344343.934000,total comp,3336.012000,total time,347679.946000
