layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,831109.848000,0.000000,0.000000,-nan,0.000000,831109.849000,0.018800,0.036556,0.000000,-nan,0.000000,2402008.602000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,1208538.879000,0.025858,0.050279,0.000000,-nan,0.000000,2402008.602000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,1591226.873000,0.039278,0.076374,0.000000,-nan,0.000000,2402008.602000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,1984432.299000,0.062990,0.122481,0.000000,-nan,0.000000,2402008.602000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,2398672.589000,0.104224,0.202658,0.000000,-nan,0.000000,2402008.602000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,456310.077000,1.095746,2.130618,0.000000,-nan,0.000000,2402008.602000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,831109.848000,0.000000,0.000000,NONE,NONE,8470290.566000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,2398672.590000,total comp,3336.012000,total time,2402008.602000
