layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,3071336.174000,0.000000,0.000000,-nan,0.000000,3071336.175000,0.005087,0.010104,0.000000,-nan,0.000000,9193107.658000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,4597242.167000,0.006798,0.013501,0.000000,-nan,0.000000,9193107.658000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,6124494.613000,0.010205,0.020268,0.000000,-nan,0.000000,9193107.658000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,7654439.967000,0.016330,0.032434,0.000000,-nan,0.000000,9193107.658000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,9189771.645000,0.027204,0.054030,0.000000,-nan,0.000000,9193107.658000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,1546103.561000,0.323394,0.642296,0.000000,-nan,0.000000,9193107.658000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,3071336.174000,0.000000,0.000000,NONE,NONE,32183388.128000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,9189771.646000,total comp,3336.012000,total time,9193107.658000
