layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,3093645.756000,0.000000,0.000000,-nan,0.000000,3093645.757000,0.005051,0.010031,0.000000,-nan,0.000000,9235800.232000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,4620944.685000,0.006763,0.013431,0.000000,-nan,0.000000,9235800.232000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,6150936.521000,0.010161,0.020181,0.000000,-nan,0.000000,9235800.232000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,7686314.173000,0.016263,0.032299,0.000000,-nan,0.000000,9235800.232000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,9232464.219000,0.027078,0.053781,0.000000,-nan,0.000000,9235800.232000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,1567693.815000,0.318940,0.633450,0.000000,-nan,0.000000,9235800.232000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,3093645.756000,0.000000,0.000000,NONE,NONE,32351999.170000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,9232464.220000,total comp,3336.012000,total time,9235800.232000
