layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,402128.080000,0.000000,0.000000,-nan,0.000000,402128.081000,0.038856,0.073394,0.000000,-nan,0.000000,1163918.650000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,584744.235000,0.053442,0.100946,0.000000,-nan,0.000000,1163918.650000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,769904.929000,0.081179,0.153338,0.000000,-nan,0.000000,1163918.650000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,960154.703000,0.130187,0.245909,0.000000,-nan,0.000000,1163918.650000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,1160582.637000,0.215409,0.406884,0.000000,-nan,0.000000,1163918.650000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,220784.281000,2.264654,4.277679,0.000000,-nan,0.000000,1163918.650000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,402128.080000,0.000000,0.000000,NONE,NONE,4098298.866000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,1160582.638000,total comp,3336.012000,total time,1163918.650000
