layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,444134.800000,0.000000,0.000000,-nan,0.000000,444134.801000,0.035181,0.066453,0.000000,-nan,0.000000,1244137.180000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,629306.415000,0.049658,0.093798,0.000000,-nan,0.000000,1244137.180000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,819567.109000,0.076260,0.144046,0.000000,-nan,0.000000,1244137.180000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,1020005.963000,0.122548,0.231480,0.000000,-nan,0.000000,1244137.180000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,1240801.167000,0.201483,0.380578,0.000000,-nan,0.000000,1244137.180000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,261507.871000,1.911988,3.611534,0.000000,-nan,0.000000,1244137.180000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,444134.800000,0.000000,0.000000,NONE,NONE,4415323.326000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,1240801.168000,total comp,3336.012000,total time,1244137.180000
