layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,91280.158000,0.000000,0.000000,-nan,0.000000,91280.159000,0.171176,0.339975,0.000000,-nan,0.000000,180230.332000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,97872.451000,0.319293,0.634152,0.000000,-nan,0.000000,180230.332000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,109850.559000,0.568955,1.130007,0.000000,-nan,0.000000,180230.332000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,132600.045000,0.942684,1.872276,0.000000,-nan,0.000000,180230.332000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,176894.319000,1.413273,2.806918,0.000000,-nan,0.000000,180230.332000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,87381.815000,5.722014,11.364556,0.000000,-nan,0.000000,180230.332000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,91280.158000,0.000000,0.000000,NONE,NONE,695879.348000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,176894.320000,total comp,3336.012000,total time,180230.332000
