layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,24352.174000,0.000000,0.000000,-nan,0.000000,24352.175000,0.641626,1.274341,0.000000,-nan,0.000000,52155.658000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,26766.167000,1.167519,2.318822,0.000000,-nan,0.000000,52155.658000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,30526.613000,2.047394,4.066351,0.000000,-nan,0.000000,52155.658000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,36979.967000,3.380208,6.713470,0.000000,-nan,0.000000,52155.658000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,48819.645000,5.120889,10.170655,0.000000,-nan,0.000000,52155.658000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,22611.561000,22.112581,43.918045,0.000000,-nan,0.000000,52155.658000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,24352.174000,0.000000,0.000000,NONE,NONE,190056.128000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,48819.646000,total comp,3336.012000,total time,52155.658000
