layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,46661.756000,0.000000,0.000000,-nan,0.000000,46661.757000,0.334857,0.665063,0.000000,-nan,0.000000,94848.232000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,50468.685000,0.619196,1.229792,0.000000,-nan,0.000000,94848.232000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,56968.521000,1.097097,2.178957,0.000000,-nan,0.000000,94848.232000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,68854.173000,1.815431,3.605648,0.000000,-nan,0.000000,94848.232000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,91512.219000,2.731876,5.425809,0.000000,-nan,0.000000,94848.232000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,44201.815000,11.311752,22.466396,0.000000,-nan,0.000000,94848.232000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,46661.756000,0.000000,0.000000,NONE,NONE,358667.170000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,91512.220000,total comp,3336.012000,total time,94848.232000
