layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,180640.914000,0.000000,0.000000,-nan,0.000000,180640.915000,0.086498,0.171794,0.000000,-nan,0.000000,351233.038000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,192812.317000,0.162075,0.321898,0.000000,-nan,0.000000,351233.038000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,215762.463000,0.289670,0.575318,0.000000,-nan,0.000000,351233.038000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,260270.097000,0.480270,0.953870,0.000000,-nan,0.000000,351233.038000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,347897.025000,0.718603,1.427226,0.000000,-nan,0.000000,351233.038000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,173861.195000,2.875857,5.711772,0.000000,-nan,0.000000,351233.038000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,180640.914000,0.000000,0.000000,NONE,NONE,1371244.012000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,347897.026000,total comp,3336.012000,total time,351233.038000
