layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,23101.300000,0.000000,0.000000,-nan,0.000000,23101.301000,0.676369,1.333950,0.000000,-nan,0.000000,48594.004000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,24966.723000,1.251666,2.468564,0.000000,-nan,0.000000,48594.004000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,28167.997000,2.218830,4.376026,0.000000,-nan,0.000000,48594.004000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,34041.227000,3.672018,7.242036,0.000000,-nan,0.000000,48594.004000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,45257.991000,5.523886,10.894331,0.000000,-nan,0.000000,48594.004000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,21903.829000,22.827059,45.020035,0.000000,-nan,0.000000,48594.004000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,23101.300000,0.000000,0.000000,NONE,NONE,177439.068000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,45257.992000,total comp,3336.012000,total time,48594.004000
