layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,89651.376000,0.000000,0.000000,-nan,0.000000,89651.377000,0.174286,0.174286,0.000000,-nan,0.000000,174512.562000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,95094.427000,0.328621,0.328621,0.000000,-nan,0.000000,174512.562000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,105969.563000,0.589792,0.589792,0.000000,-nan,0.000000,174512.562000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,127708.869000,0.978789,0.978789,0.000000,-nan,0.000000,174512.562000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,171176.549000,1.460480,1.460480,0.000000,-nan,0.000000,174512.562000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,86924.393000,5.752125,5.752125,0.000000,-nan,0.000000,174512.562000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,89651.376000,0.000000,0.000000,NONE,NONE,676525.178000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,171176.550000,total comp,3336.012000,total time,174512.562000
