layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,134509.954000,0.000000,0.000000,-nan,0.000000,134509.955000,0.116162,0.174244,0.000000,-nan,0.000000,260199.436000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,142690.971000,0.219005,0.328507,0.000000,-nan,0.000000,260199.436000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,159020.113000,0.393032,0.589548,0.000000,-nan,0.000000,260199.436000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,191645.513000,0.652246,0.978369,0.000000,-nan,0.000000,260199.436000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,256863.423000,0.973280,1.459920,0.000000,-nan,0.000000,260199.436000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,130403.029000,3.834267,5.751400,0.000000,-nan,0.000000,260199.436000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,134509.954000,0.000000,0.000000,NONE,NONE,1015133.004000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,256863.424000,total comp,3336.012000,total time,260199.436000
