layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,16844.392000,0.000000,0.000000,-nan,0.000000,16844.393000,0.927608,1.391412,0.000000,-nan,0.000000,35548.516000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,17887.425000,1.747037,2.620556,0.000000,-nan,0.000000,35548.516000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,19948.273000,3.133103,4.699655,0.000000,-nan,0.000000,35548.516000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,24044.753000,5.198639,7.797959,0.000000,-nan,0.000000,35548.516000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,32212.503000,7.760962,11.641442,0.000000,-nan,0.000000,35548.516000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,16310.293000,30.655489,45.983234,0.000000,-nan,0.000000,35548.516000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,16844.392000,0.000000,0.000000,NONE,NONE,127247.640000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,32212.504000,total comp,3336.012000,total time,35548.516000
