layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,196644.730000,0.000000,0.000000,-nan,0.000000,196644.731000,0.079458,0.150087,0.000000,-nan,0.000000,379076.530000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,208703.325000,0.149734,0.282831,0.000000,-nan,0.000000,379076.530000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,232655.479000,0.268638,0.507427,0.000000,-nan,0.000000,379076.530000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,280395.593000,0.445799,0.842064,0.000000,-nan,0.000000,379076.530000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,375740.517000,0.665353,1.256777,0.000000,-nan,0.000000,379076.530000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,190554.571000,2.623920,4.956294,0.000000,-nan,0.000000,379076.530000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,196644.730000,0.000000,0.000000,NONE,NONE,1484694.216000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,375740.518000,total comp,3336.012000,total time,379076.530000
