layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,46211.028000,0.000000,0.000000,-nan,0.000000,46211.029000,0.338123,0.657461,0.000000,-nan,0.000000,145738.257000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,52101.286000,0.599793,1.166265,0.000000,-nan,0.000000,145738.257000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,63458.628000,0.984894,1.915071,0.000000,-nan,0.000000,145738.257000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,92546.834000,1.350667,2.626298,0.000000,-nan,0.000000,145738.257000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,142402.244000,1.755590,3.413648,0.000000,-nan,0.000000,145738.257000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,42703.150000,11.708738,22.766991,0.000000,-nan,0.000000,145738.257000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,46211.028000,0.000000,0.000000,NONE,NONE,439423.171000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,142402.245000,total comp,3336.012000,total time,145738.257000
