layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,91878.921000,0.000000,0.000000,-nan,0.000000,91878.922000,0.170061,0.335398,0.000000,-nan,0.000000,869803.194000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,152222.126000,0.205292,0.404882,0.000000,-nan,0.000000,869803.194000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,354617.403000,0.176246,0.347597,0.000000,-nan,0.000000,869803.194000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,630283.610000,0.198323,0.391138,0.000000,-nan,0.000000,869803.194000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,866467.181000,0.288528,0.569041,0.000000,-nan,0.000000,869803.194000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,45304.925000,11.036327,21.766090,0.000000,-nan,0.000000,869803.194000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,91878.921000,0.000000,0.000000,NONE,NONE,2140774.167000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,866467.182000,total comp,3336.012000,total time,869803.194000
