layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,178201.800000,0.000000,0.000000,-nan,0.000000,178201.801000,0.087681,0.172927,0.000000,-nan,0.000000,347519.071000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,190073.605000,0.164410,0.324253,0.000000,-nan,0.000000,347519.071000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,212752.287000,0.293769,0.579377,0.000000,-nan,0.000000,347519.071000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,256985.789000,0.486408,0.959305,0.000000,-nan,0.000000,347519.071000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,344183.058000,0.726358,1.432539,0.000000,-nan,0.000000,347519.071000
embedding_layer,test1,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,171947.189000,2.907870,5.734965,0.000000,-nan,0.000000,347519.071000
SUM,test1,3336.000000,0.006000,0.006000,0.000000,178201.800000,0.000000,0.000000,NONE,NONE,1354143.729000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,344183.059000,total comp,3336.012000,total time,347519.071000
